ST_CASE,STATE,PEDS,VE_TOTAL,PERSONS,COUNTY,DAY_WEEK,HOUR,ROUTE,FUNC_SYS,LATITUDE,LONGITUD,TYP_INT,REL_ROAD,LGT_COND,WEATHER,FATALS,NUM_INJURED
10001,1,0,1,1,13,4,22,2,5,31.927975,-86.53883333,1,4,2,1,1,1
10002,1,0,1,1,97,2,2,4,7,30.50874444,-88.27321389,1,4,2,1,1,1
10003,1,0,1,1,89,7,22,4,5,34.73833333,-86.375825,1,4,2,1,1,1
10004,1,0,1,3,53,6,19,4,7,31.01478056,-86.74669444,1,4,2,2,1,3
10005,1,0,1,4,3,6,14,1,1,31.02740556,-87.6438,1,4,1,2,1,4
10006,1,0,1,1,121,5,5,4,7,33.22190556,-86.38474722,1,4,1,1,1,1
10007,1,0,2,2,95,5,5,4,5,34.44845556,-86.52765556,1,1,2,1,2,2
10008,1,0,1,2,123,4,11,3,5,33.02797222,-85.94111111,1,4,1,1,1,2
10009,1,0,1,3,119,7,1,3,3,32.38221389,-88.19781389,1,4,2,1,2,3
10010,1,0,2,4,85,5,18,4,5,32.10828056,-86.52649167,1,1,2,1,1,3
10011,1,0,1,1,133,2,18,3,5,34.10104444,-87.39218889,1,4,2,10,1,1
10012,1,0,1,1,1,3,14,2,4,32.51246111,-86.45651944,1,4,1,2,1,1
10013,1,0,2,4,3,1,2,4,5,30.56732222,-87.76065833,1,1,2,5,1,4
10014,1,1,1,1,73,2,17,6,4,33.409225,-86.97589444,1,1,2,1,1,1
10015,1,0,2,2,1,4,3,4,3,32.4605,-86.41808889,2,1,3,2,1,2
10016,1,0,1,4,95,2,2,6,5,34.26632222,-86.21219444,1,4,3,1,1,3
10017,1,0,2,2,95,1,21,3,4,34.24958333,-86.10768056,1,1,2,10,1,1
10018,1,1,1,1,33,1,17,6,4,34.75966667,-87.69033056,1,1,3,1,1,1
10019,1,0,2,2,83,4,9,4,5,34.88653056,-87.16217778,1,1,1,10,1,1
10020,1,0,2,5,81,6,17,2,3,32.66486389,-85.47311944,3,1,2,1,1,4
10021,1,0,1,2,125,7,0,4,5,33.13279167,-87.479475,1,4,2,10,1,2
10022,1,0,1,1,71,7,14,3,4,34.68618056,-86.121575,1,4,1,10,1,1
10023,1,0,2,2,97,7,16,4,7,30.62540278,-88.25841389,2,1,1,1,1,2
10024,1,1,1,1,71,7,21,4,5,34.67899722,-86.25980833,1,1,2,10,1,1
10025,1,0,1,1,73,7,23,1,1,33.35456111,-86.8531,1,3,2,1,1,1
10026,1,1,3,1,73,1,2,2,2,33.52293889,-86.79969722,1,1,3,10,1,2
10027,1,0,1,1,47,1,4,4,7,32.37151944,-87.01441389,1,4,2,10,1,1
10028,1,0,1,1,113,1,1,4,5,32.46204444,-85.22640556,1,4,2,1,1,1
10029,1,0,3,6,45,2,15,3,4,31.44830278,-85.69374444,1,1,1,1,1,3
10030,1,0,2,2,89,3,18,2,3,34.96879722,-86.56841389,3,1,3,1,1,2
10031,1,0,2,2,89,3,14,1,1,34.66165278,-86.78654167,1,3,1,1,2,2
10032,1,0,2,2,15,3,13,2,3,33.69981667,-85.80853056,3,1,1,1,1,2
